type_name,buy_price,sell_price,location
"Vàng SJC 1L, 10L, 1KG","119,000","121,000",Hồ Chí Minh
Vàng SJC 5 chỉ,"119,000","121,020",Hồ Chí Minh
"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ","119,000","121,030",Hồ Chí Minh
"Vàng nhẫn SJC 99,99% 1 chỉ, 2 chỉ, 5 chỉ","113,500","116,000",Hồ Chí Minh
"Vàng nhẫn SJC 99,99% 0.5 chỉ, 0.3 chỉ","113,500","116,100",Hồ Chí Minh
"Nữ trang 99,99%","113,500","115,400",Hồ Chí Minh
Nữ trang 99%,"109,757","114,257",Hồ Chí Minh
Nữ trang 75%,"80,209","86,709",Hồ Chí Minh
Nữ trang 68%,"72,130","78,630",Hồ Chí Minh
Nữ trang 61%,"64,051","70,551",Hồ Chí Minh
"Nữ trang 58,3%","60,935","67,435",Hồ Chí Minh
"Nữ trang 41,7%","41,777","48,277",Hồ Chí Minh
"Vàng SJC 1L, 10L, 1KG","119,000","121,000",Miền Bắc
"Vàng SJC 1L, 10L, 1KG","119,000","121,000",Hạ Long
"Vàng SJC 1L, 10L, 1KG","119,000","121,000",Hải Phòng
"Vàng SJC 1L, 10L, 1KG","119,000","121,000",Miền Trung
"Vàng SJC 1L, 10L, 1KG","119,000","121,000",Huế
"Vàng SJC 1L, 10L, 1KG","119,000","121,000",Quảng Ngãi
"Vàng SJC 1L, 10L, 1KG","119,000","121,000",Nha Trang
"Vàng SJC 1L, 10L, 1KG","119,000","121,000",Biên Hòa
"Vàng SJC 1L, 10L, 1KG","119,000","121,000",Miền Tây
"Vàng SJC 1L, 10L, 1KG","119,000","121,000",Bạc Liêu
"Vàng SJC 1L, 10L, 1KG","119,000","121,000",Cà Mau
