type_name,buy_price,sell_price,location
"Vàng SJC 1L, 10L, 1KG",118.5,121.0,Hồ Chí Minh
Vàng SJC 5 chỉ,118.5,121.02,Hồ Chí Minh
"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",118.5,121.03,Hồ Chí Minh
"Vàng nhẫn SJC 99,99% 1 chỉ, 2 chỉ, 5 chỉ",112.0,115.0,Hồ Chí Minh
"Vàng nhẫn SJC 99,99% 0.5 chỉ, 0.3 chỉ",112.0,115.1,Hồ Chí Minh
"Nữ trang 99,99%",112.0,114.4,Hồ Chí Minh
Nữ trang 99%,108.767,113.267,Hồ Chí Minh
Nữ trang 75%,79.459,85.959,Hồ Chí Minh
Nữ trang 68%,71.45,77.95,Hồ Chí Minh
Nữ trang 61%,63.441,69.941,Hồ Chí Minh
"Nữ trang 58,3%",60.352,66.852,Hồ Chí Minh
"Nữ trang 41,7%",41.36,47.86,Hồ Chí Minh
"Vàng SJC 1L, 10L, 1KG",118.5,121.0,Miền Bắc
"Vàng SJC 1L, 10L, 1KG",118.5,121.0,Hạ Long
"Vàng SJC 1L, 10L, 1KG",118.5,121.0,Hải Phòng
"Vàng SJC 1L, 10L, 1KG",118.5,121.0,Miền Trung
"Vàng SJC 1L, 10L, 1KG",118.5,121.0,Huế
"Vàng SJC 1L, 10L, 1KG",118.5,121.0,Quảng Ngãi
"Vàng SJC 1L, 10L, 1KG",118.5,121.0,Nha Trang
"Vàng SJC 1L, 10L, 1KG",118.5,121.0,Biên Hòa
"Vàng SJC 1L, 10L, 1KG",118.5,121.0,Miền Tây
"Vàng SJC 1L, 10L, 1KG",118.5,121.0,Bạc Liêu
"Vàng SJC 1L, 10L, 1KG",118.5,121.0,Cà Mau
